sourceNeuron;targetNeuron;w
17;41;0.3695352375507355
17;50;-0.7147053480148315
17;59;-0.29288923740386963
17;68;0.0943693220615387
17;6;0.40766245126724243
17;15;0.016026906669139862
17;24;0.47640225291252136
17;33;-0.1975979506969452
17;42;-0.08302116394042969
17;51;-0.7541444301605225
17;60;-0.2827000021934509
17;69;0.6315658688545227
17;7;-0.12136081606149673
17;16;-0.010594380088150501
17;25;-0.02380470000207424
17;34;-0.21156828105449677
17;43;0.28398364782333374
17;52;0.07610068470239639
17;61;0.09002327173948288
17;70;0.0893876776099205
17;8;-0.6458497047424316
17;17;0.24779656529426575
17;26;-0.057577863335609436
17;35;0.08910726755857468
17;44;-0.34744027256965637
17;53;-0.029870230704545975
17;62;0.008031423203647137
17;71;-0.3257092535495758
18;4;0.37006697058677673
18;13;-0.6948227882385254
18;22;-0.6061433553695679
18;31;0.17318984866142273
18;40;-0.2768089771270752
18;49;-0.14691463112831116
18;58;-0.05554672330617905
18;67;-0.4648934304714203
18;5;-0.010312197729945183
18;14;0.8144087791442871
18;23;0.3271990716457367
18;32;-0.158585324883461
18;41;0.24543225765228271
18;50;-0.07640551775693893
18;59;0.19777768850326538
18;68;0.09497097879648209
18;7;0.40766245126724243
18;16;0.016026906669139862
18;25;0.47640225291252136
18;34;-0.1975979506969452
18;43;-0.08302116394042969
18;52;-0.7541444301605225
18;61;-0.2827000021934509
18;70;0.6315658688545227
18;8;-0.12136081606149673
18;17;-0.010594380088150501
18;26;-0.02380470000207424
18;35;-0.21156828105449677
18;44;0.28398364782333374
18;53;0.07610068470239639
18;62;0.09002327173948288
18;71;0.0893876776099205
19;5;0.37006697058677673
19;14;-0.6948227882385254
19;23;-0.6061433553695679
19;32;0.17318984866142273
19;41;-0.2768089771270752
19;50;-0.14691463112831116
19;59;-0.05554672330617905
19;68;-0.4648934304714203
19;8;0.40766245126724243
19;17;0.016026906669139862
19;26;0.47640225291252136
19;35;-0.1975979506969452
19;44;-0.08302116394042969
19;53;-0.7541444301605225
19;62;-0.2827000021934509
19;71;0.6315658688545227
20;6;0.06427519023418427
20;15;-0.30531981587409973
20;24;-0.14318282902240753
20;33;-0.15706171095371246
20;42;0.3695352375507355
20;51;-0.7147053480148315
20;60;-0.29288923740386963
20;69;0.0943693220615387
21;6;-0.010312197729945183
21;15;0.8144087791442871
21;24;0.3271990716457367
21;33;-0.158585324883461
21;42;0.24543225765228271
21;51;-0.07640551775693893
21;60;0.19777768850326538
21;69;0.09497097879648209
21;7;0.06427519023418427
21;16;-0.30531981587409973
21;25;-0.14318282902240753
21;34;-0.15706171095371246
21;43;0.3695352375507355
21;52;-0.7147053480148315
21;61;-0.29288923740386963
21;70;0.0943693220615387
22;6;0.37006697058677673
22;15;-0.6948227882385254
22;24;-0.6061433553695679
22;33;0.17318984866142273
22;42;-0.2768089771270752
22;51;-0.14691463112831116
22;60;-0.05554672330617905
22;69;-0.4648934304714203
22;7;-0.010312197729945183
22;16;0.8144087791442871
22;25;0.3271990716457367
22;34;-0.158585324883461
22;43;0.24543225765228271
22;52;-0.07640551775693893
22;61;0.19777768850326538
22;70;0.09497097879648209
22;8;0.06427519023418427
22;17;-0.30531981587409973
22;26;-0.14318282902240753
22;35;-0.15706171095371246
22;44;0.3695352375507355
22;53;-0.7147053480148315
22;62;-0.29288923740386963
22;71;0.0943693220615387
23;7;0.37006697058677673
23;16;-0.6948227882385254
23;25;-0.6061433553695679
23;34;0.17318984866142273
23;43;-0.2768089771270752
23;52;-0.14691463112831116
23;61;-0.05554672330617905
23;70;-0.4648934304714203
23;8;-0.010312197729945183
23;17;0.8144087791442871
23;26;0.3271990716457367
23;35;-0.158585324883461
23;44;0.24543225765228271
23;53;-0.07640551775693893
23;62;0.19777768850326538
23;71;0.09497097879648209
24;8;0.37006697058677673
24;17;-0.6948227882385254
24;26;-0.6061433553695679
24;35;0.17318984866142273
24;44;-0.2768089771270752
24;53;-0.14691463112831116
24;62;-0.05554672330617905
24;71;-0.4648934304714203
25;0;-0.018606992438435555
25;9;1.5195449590682983
25;18;0.036466531455516815
25;27;-0.03406358137726784
25;36;-0.1336619257926941
25;45;0.8598394989967346
25;54;0.055297840386629105
25;63;-0.14149576425552368
26;0;0.4522874057292938
26;9;0.14436578750610352
26;18;-0.11715671420097351
26;27;0.004168971907347441
26;36;0.4018048644065857
26;45;-0.0036035708617419004
26;54;-0.14611715078353882
26;63;0.362077534198761
26;1;-0.018606992438435555
26;10;1.5195449590682983
26;19;0.036466531455516815
26;28;-0.03406358137726784
26;37;-0.1336619257926941
26;46;0.8598394989967346
26;55;0.055297840386629105
26;64;-0.14149576425552368
27;0;-0.3898262679576874
27;9;-0.8621273040771484
27;18;-0.14689350128173828
27;27;0.05325165390968323
27;36;0.311238557100296
27;45;-0.20548422634601593
27;54;-0.6295300126075745
27;63;0.05006865784525871
27;1;0.4522874057292938
27;10;0.14436578750610352
27;19;-0.11715671420097351
27;28;0.004168971907347441
27;37;0.4018048644065857
27;46;-0.0036035708617419004
27;55;-0.14611715078353882
27;64;0.362077534198761
27;2;-0.018606992438435555
27;11;1.5195449590682983
27;20;0.036466531455516815
27;29;-0.03406358137726784
27;38;-0.1336619257926941
27;47;0.8598394989967346
27;56;0.055297840386629105
27;65;-0.14149576425552368
28;1;-0.3898262679576874
28;10;-0.8621273040771484
28;19;-0.14689350128173828
28;28;0.05325165390968323
28;37;0.311238557100296
28;46;-0.20548422634601593
28;55;-0.6295300126075745
28;64;0.05006865784525871
28;2;0.4522874057292938
28;11;0.14436578750610352
28;20;-0.11715671420097351
28;29;0.004168971907347441
28;38;0.4018048644065857
28;47;-0.0036035708617419004
28;56;-0.14611715078353882
28;65;0.362077534198761
29;2;-0.3898262679576874
29;11;-0.8621273040771484
29;20;-0.14689350128173828
29;29;0.05325165390968323
29;38;0.311238557100296
29;47;-0.20548422634601593
29;56;-0.6295300126075745
29;65;0.05006865784525871
30;0;-0.8681305646896362
30;9;-0.0016623828560113907
30;18;-0.00046532886335626245
30;27;-0.04236241802573204
30;36;-0.30970272421836853
30;45;-0.46391141414642334
30;54;0.1628551036119461
30;63;-0.29603099822998047
30;3;-0.018606992438435555
30;12;1.5195449590682983
30;21;0.036466531455516815
30;30;-0.03406358137726784
30;39;-0.1336619257926941
30;48;0.8598394989967346
30;57;0.055297840386629105
30;66;-0.14149576425552368
31;0;-0.08267902582883835
31;9;-0.16602873802185059
31;18;0.3645896911621094
31;27;-0.13452836871147156
31;36;0.05037250369787216
31;45;-0.4058443605899811
31;54;-0.01631038449704647
31;63;0.14988040924072266
31;1;-0.8681305646896362
31;10;-0.0016623828560113907
31;19;-0.00046532886335626245
31;28;-0.04236241802573204
31;37;-0.30970272421836853
31;46;-0.46391141414642334
31;55;0.1628551036119461
31;64;-0.29603099822998047
31;3;0.4522874057292938
31;12;0.14436578750610352
31;21;-0.11715671420097351
31;30;0.004168971907347441
31;39;0.4018048644065857
31;48;-0.0036035708617419004
31;57;-0.14611715078353882
31;66;0.362077534198761
31;4;-0.018606992438435555
31;13;1.5195449590682983
31;22;0.036466531455516815
31;31;-0.03406358137726784
31;40;-0.1336619257926941
31;49;0.8598394989967346
31;58;0.055297840386629105
31;67;-0.14149576425552368
32;0;-0.4299941658973694
32;9;0.24871446192264557
32;18;0.2751075029373169
32;27;-0.18192222714424133
32;36;-0.16342653334140778
32;45;-0.6683715581893921
32;54;0.12008699774742126
32;63;0.5274137854576111
32;1;-0.08267902582883835
32;10;-0.16602873802185059
32;19;0.3645896911621094
32;28;-0.13452836871147156
32;37;0.05037250369787216
32;46;-0.4058443605899811
32;55;-0.01631038449704647
32;64;0.14988040924072266
32;2;-0.8681305646896362
32;11;-0.0016623828560113907
32;20;-0.00046532886335626245
32;29;-0.04236241802573204
32;38;-0.30970272421836853
32;47;-0.46391141414642334
32;56;0.1628551036119461
32;65;-0.29603099822998047
32;3;-0.3898262679576874
32;12;-0.8621273040771484
32;21;-0.14689350128173828
32;30;0.05325165390968323
32;39;0.311238557100296
32;48;-0.20548422634601593
32;57;-0.6295300126075745
32;66;0.05006865784525871
32;4;0.4522874057292938
32;13;0.14436578750610352
32;22;-0.11715671420097351
32;31;0.004168971907347441
32;40;0.4018048644065857
32;49;-0.0036035708617419004
32;58;-0.14611715078353882
32;67;0.362077534198761
32;5;-0.018606992438435555
32;14;1.5195449590682983
32;23;0.036466531455516815
32;32;-0.03406358137726784
32;41;-0.1336619257926941
32;50;0.8598394989967346
32;59;0.055297840386629105
32;68;-0.14149576425552368
33;1;-0.4299941658973694
33;10;0.24871446192264557
33;19;0.2751075029373169
33;28;-0.18192222714424133
33;37;-0.16342653334140778
33;46;-0.6683715581893921
33;55;0.12008699774742126
33;64;0.5274137854576111
33;2;-0.08267902582883835
33;11;-0.16602873802185059
33;20;0.3645896911621094
33;29;-0.13452836871147156
33;38;0.05037250369787216
33;47;-0.4058443605899811
33;56;-0.01631038449704647
33;65;0.14988040924072266
33;4;-0.3898262679576874
33;13;-0.8621273040771484
33;22;-0.14689350128173828
33;31;0.05325165390968323
33;40;0.311238557100296
33;49;-0.20548422634601593
33;58;-0.6295300126075745
33;67;0.05006865784525871
33;5;0.4522874057292938
33;14;0.14436578750610352
33;23;-0.11715671420097351
33;32;0.004168971907347441
33;41;0.4018048644065857
33;50;-0.0036035708617419004
33;59;-0.14611715078353882
33;68;0.362077534198761
34;2;-0.4299941658973694
34;11;0.24871446192264557
34;20;0.2751075029373169
34;29;-0.18192222714424133
34;38;-0.16342653334140778
34;47;-0.6683715581893921
34;56;0.12008699774742126
34;65;0.5274137854576111
34;5;-0.3898262679576874
34;14;-0.8621273040771484
34;23;-0.14689350128173828
34;32;0.05325165390968323
34;41;0.311238557100296
34;50;-0.20548422634601593
34;59;-0.6295300126075745
34;68;0.05006865784525871
35;0;-1.2216897010803223
35;9;0.8860346674919128
35;18;-0.35427698493003845
35;27;-0.08369553089141846
35;36;-0.039041973650455475
35;45;0.13130910694599152
35;54;0.9566145539283752
35;63;-1.6039881706237793
35;3;-0.8681305646896362
35;12;-0.0016623828560113907
35;21;-0.00046532886335626245
35;30;-0.04236241802573204
35;39;-0.30970272421836853
35;48;-0.46391141414642334
35;57;0.1628551036119461
35;66;-0.29603099822998047
35;6;-0.018606992438435555
35;15;1.5195449590682983
35;24;0.036466531455516815
35;33;-0.03406358137726784
35;42;-0.1336619257926941
35;51;0.8598394989967346
35;60;0.055297840386629105
35;69;-0.14149576425552368
36;0;-0.30312272906303406
36;9;0.0314924530684948
36;18;0.1136341542005539
36;27;-0.06983897089958191
36;36;0.006527365650981665
36;45;0.34961414337158203
36;54;-0.047290775924921036
36;63;0.13227133452892303
36;1;-1.2216897010803223
36;10;0.8860346674919128
36;19;-0.35427698493003845
36;28;-0.08369553089141846
36;37;-0.039041973650455475
36;46;0.13130910694599152
36;55;0.9566145539283752
36;64;-1.6039881706237793
36;3;-0.08267902582883835
36;12;-0.16602873802185059
36;21;0.3645896911621094
36;30;-0.13452836871147156
36;39;0.05037250369787216
36;48;-0.4058443605899811
36;57;-0.01631038449704647
36;66;0.14988040924072266
36;4;-0.8681305646896362
36;13;-0.0016623828560113907
36;22;-0.00046532886335626245
36;31;-0.04236241802573204
36;40;-0.30970272421836853
36;49;-0.46391141414642334
36;58;0.1628551036119461
36;67;-0.29603099822998047
36;6;0.4522874057292938
36;15;0.14436578750610352
36;24;-0.11715671420097351
36;33;0.004168971907347441
36;42;0.4018048644065857
36;51;-0.0036035708617419004
36;60;-0.14611715078353882
36;69;0.362077534198761
36;7;-0.018606992438435555
36;16;1.5195449590682983
36;25;0.036466531455516815
36;34;-0.03406358137726784
36;43;-0.1336619257926941
36;52;0.8598394989967346
36;61;0.055297840386629105
36;70;-0.14149576425552368
37;0;0.48763275146484375
37;9;-0.5212715864181519
37;18;0.35698357224464417
37;27;-0.22249916195869446
37;36;-0.03900996223092079
37;45;-0.13928928971290588
37;54;0.28007954359054565
37;63;0.19153377413749695
37;1;-0.30312272906303406
37;10;0.0314924530684948
37;19;0.1136341542005539
37;28;-0.06983897089958191
37;37;0.006527365650981665
